Treatments,Time,BT,BV,CH,BU,CS,CA,DP,DSM,MS001,MS008,MS014
BT-BU-BV-CA-CS-DP,0,0.001666667,0.001666667,0.0,0.001666667,0.001666667,0.001666667,0.001666667,0.0,0.0,0.0,0.0
BT-BU-BV-CA-CS-DP,12,1.116771316,0.190537847,0.0,0.114888978,0.127688512,0.002909606,0.021037117,0.0,0.0,0.0,0.0
BT-BU-BV-CA-CS-DP,24,1.193564205,0.044795902,0.0,0.097576323,0.2977281,0.077204592,0.031380878,0.0,0.0,0.0,0.0
BT-BU-BV-CA-DP,0,0.002,0.002,0.0,0.002,0.0,0.002,0.002,0.0,0.0,0.0,0.0
BT-BU-BV-CA-DP,12,1.116552706,0.312622055,0.0,0.063023773,0.0,0.00105719,0.018077613,0.0,0.0,0.0,0.0
BT-BU-BV-CA-DP,24,1.447190123,0.032820864,0.0,0.054920349,0.0,0.018695981,0.023706044,0.0,0.0,0.0,0.0
BT-BU-CA-CH,0,0.0025,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT-BU-CA-CH,12,1.139664297,0.0,0.036391094,0.358277937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT-BU-CA-CH,24,1.012235522,0.0,0.049817724,0.224113412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT-BU-CA-CH-CS,0,0.002,0.0,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0
BT-BU-CA-CH-CS,12,1.270747779,0.0,0.087265923,0.461787571,0.047855163,0.001343611,0.0,0.0,0.0,0.0,0.0
BT-BU-CA-CH-CS,24,0.977195438,0.0,0.089504928,0.185898014,0.048784681,0.001950231,0.0,0.0,0.0,0.0,0.0
BT-BU-CA-CS-DP,0,0.002,0.0,0.0,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0
BT-BU-CA-CS-DP,12,1.232272221,0.0,0.0,0.234309324,0.236466613,0.002985826,0.033632677,0.0,0.0,0.0,0.0
BT-BU-CA-CS-DP,24,1.308652061,0.0,0.0,0.128949249,0.278622409,0.049493299,0.042949619,0.0,0.0,0.0,0.0
BT-BU-CA-MS008-CH-CS,0,0.001666667,0.0,0.001666667,0.001666667,0.001666667,0.001666667,0.0,0.0,0.0,0.001666667,0.0
BT-BU-CA-MS008-CH-CS,12,1.089964092,0.0,0.040147332,0.451911507,0.028827493,0.002351274,0.0,0.0,0.0,0.226798307,0.0
BT-BU-CA-MS008-CH-CS,24,0.940326531,0.0,0.038717718,0.249233681,0.027267236,0.004108026,0.0,0.0,0.0,0.288013447,0.0
BT-BU-CH-DP,0,0.0025,0.0,0.0025,0.0025,0.0,0.0,0.0025,0.0,0.0,0.0,0.0
BT-BU-CH-DP,12,1.228591776,0.0,0.066941229,0.418825353,0.0,0.0,0.039808325,0.0,0.0,0.0,0.0
BT-BU-CH-DP,24,1.051998415,0.0,0.240207582,0.28385646,0.0,0.0,0.03960419,0.0,0.0,0.0,0.0
BT-BU-MS014-CH-DP,0,0.002,0.0,0.002,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.002
BT-BU-MS014-CH-DP,12,1.11346098,0.0,0.049524116,0.499408823,0.0,0.0,0.042014833,0.0,0.0,0.0,0.317424607
BT-BU-MS014-CH-DP,24,1.071572999,0.0,0.032677717,0.408933615,0.0,0.0,0.026260518,0.0,0.0,0.0,0.216721768
BT-BV-CA-CS-DP,0,0.002,0.002,0.0,0.0,0.002,0.002,0.002,0.0,0.0,0.0,0.0
BT-BV-CA-CS-DP,12,1.130309385,0.392285992,0.0,0.0,0.129721089,0.001182816,0.02150071,0.0,0.0,0.0,0.0
BT-BV-CA-CS-DP,24,1.479136861,0.049051487,0.0,0.0,0.250996723,0.026700729,0.025947523,0.0,0.0,0.0,0.0
BT-BV-CH-BU-CS-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.0,0.0,0.0
BT-BV-CH-BU-CS-CA-DP_0,12,1.104770133,0.179777551,0.212015752,0.401490514,0.021472142,0.018853547,0.046787036,0.0,0.0,0.0,0.0
BT-BV-CH-BU-CS-CA-DP_0,24,1.04351902,0.026561931,0.191174923,0.303696177,0.039351074,0.028245874,0.059284295,0.0,0.0,0.0,0.0
BT-BV-CH-DP,0,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0
BT-BV-CH-DP,12,1.440273149,0.169505055,0.05907313,0.0,0.0,0.0,0.038982025,0.0,0.0,0.0,0.0
BT-BV-CH-DP,24,1.605372493,0.012213557,0.194684569,0.0,0.0,0.0,0.048396053,0.0,0.0,0.0,0.0
BT-BV-DSM-BU-CS-CA-DP_0,0,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.0,0.0
BT-BV-DSM-BU-CS-CA-DP_0,12,0.932000344,0.089004374,0.0,0.291357674,0.110835938,0.023785905,0.036213133,0.423802633,0.0,0.0,0.0
BT-BV-DSM-BU-CS-CA-DP_0,24,0.70846961,0.084416003,0.0,0.197912986,0.198545283,0.083606545,0.030812308,0.577070579,0.0,0.0,0.0
