Treatments,Time,PC_OD,PJ_OD,BV_OD,BF_OD,BO_OD,BT_OD,BC_OD,BY_OD,BU_OD,DP_OD,BL_OD,BA_OD,BP_OD,CA_OD,EL_OD,FP_OD,CH_OD,AC_OD,BH_OD,CG_OD,ER_OD,RI_OD,CC_OD,DL_OD,DF_OD,Butyrate,Acetate,Lactate,Succinate
AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
AC,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.261912029054568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.504425,9.10159375,21.1897875,4.299
AC-BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
AC-BA,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146606464523413,0.0,0.0,0.0,0.0,0.0,0.8494869235029597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.09713333333334,13.796366666666666,10.035333333333332,5.6963
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ,48.0,0.0153272971595407,0.020159699566505,0.0198120149382523,0.226912458129501,0.1752609384618068,0.2798997472682721,0.2470385831012123,0.0542847775135258,0.0404182438340516,0.004763333807011,0.0085246003096916,0.0596566742286554,0.3823576739995916,0.0201730315669698,0.0087662925061635,0.0008167018173615,0.0339706291635665,0.2040232987242945,0.000422110594121,0.0325285297757971,0.0378335493974272,0.0,0.19473082939169,0.1444265372277928,0.0762901309706206,12.701783333333331,39.986983333333335,44.77304999999999,12.94805
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,0.0,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.000264,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,16.0,0.079923887,0.006808331,0.038777886,0.13631463,0.135574594,0.152595421,0.251168215,0.077703779,0.036409771,0.004292209,0.005032245,0.078443815,0.056094728,0.007992389,0.000888043,0.0,0.025605245,0.039961944,0.000148007,0.013320648,0.185008998,0.000888043,0.003848187,0.218458625,0.117073694,20.39894416,44.685687,29.86071626,16.86823529
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,32.0,0.102593724,0.005984634,0.007552038,0.10330618,0.094044247,0.099173933,0.175976735,0.061271252,0.022798605,0.001424913,0.005272177,0.042319911,0.039042612,0.004132247,0.000712456,0.000142491,0.029068222,0.234825635,0.000284983,0.012539233,0.134654263,0.000284983,0.006127125,0.225278719,0.130522015,21.1184672,40.78061116,31.04910717,19.13382433
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-PJ-RI,48.0,0.036181185518879,0.00881874828452605,0.00935616947724675,0.1412933031720271,0.09785756961502075,0.16874751056271675,0.17232799096160756,0.0533821488887245,0.021849693288394,0.0027232186583756,0.0045459843464033,0.07770206664420255,0.1495885482777052,0.01465489487364025,0.0029855115963943,0.0003789327658605,0.01654013847209625,0.31380014854656224,0.000167008264475,0.020756026109555903,0.0721178462131412,0.0012410739819340001,0.06949849910225869,0.2280772585648181,0.11268355919374524,21.495055297142862,39.323249065714286,35.34989824071428,17.81126666357143
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-RI,0.0,0.0002749999999999,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PC-RI,48.0,0.0145280903056215,0.0,0.0280675197820882,0.2563863930650914,0.1863866885153083,0.3152308445328733,0.2845872697854966,0.0560476904871684,0.0460826838340241,0.0065580964293582,0.0080853097442958,0.0696503766242269,0.3654543917472161,0.0234243277599164,0.0078689962770557,0.0009963731058198,0.0474061117759366,0.2077551001576026,0.0008131647444523,0.0350889099276995,0.0476419260115668,0.0002873710411622,0.208873441742617,0.122054786701403,0.0813778279814165,12.529733333333333,42.20586666666666,50.05458333333333,15.791683333333332
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PJ-RI,0.0,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-FP-PJ-RI,48.0,0.0,0.0193552922493266,0.0210189498582071,0.2341355998456287,0.1814605957839098,0.2967555276601591,0.2754885360088774,0.0563386916446461,0.0435077592534961,0.0051759208377656,0.0072297762945764,0.0498764818194902,0.3018855068888801,0.0229630520872893,0.0082080028388095,0.0005785116881549,0.0384024999257476,0.2495512425203283,0.000809794141663,0.0383831930252257,0.0471812137228797,0.0005582125451485,0.2072647154307584,0.1195194884073064,0.1005874575157774,12.503016666666667,38.64345,40.82038333333333,13.3488
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-PC-PJ-RI,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-ER-PC-PJ-RI,48.0,0.0134207826267234,0.0209998596439929,0.0204136879628067,0.2106004423315237,0.1477377458339616,0.2473263021770654,0.2339595249982192,0.0474331919016708,0.0388417920814752,0.0068173471199978,0.0080461065669227,0.0828700145184457,0.4313625643941188,0.0285154797887301,0.0079665677010155,0.0,0.0422006043968642,0.1800054845626758,0.0003667540747209,0.0359434167728467,0.0374525528709395,0.0,0.2001083439197076,0.1256435355682642,0.0697133955274156,11.338,41.46321666666667,48.14456666666666,14.059716666666668
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-FP-PC-PJ-RI,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-EL-FP-PC-PJ-RI,48.0,0.0217343560543213,0.0197381162636172,0.0203754402380542,0.2237533911780119,0.1777330516077103,0.2780887328803649,0.2514328008715949,0.0568973617475563,0.0408959779828265,0.0058382770629337,0.0082537425435749,0.0674740373210828,0.4551133937993152,0.0221387999385779,0.0083444640017722,0.0005726014516008,0.0326116739591726,0.2070012887523267,0.0005734205427043,0.0307862416393087,0.0,0.0,0.1983701621081645,0.1575261524905531,0.0733009879348315,12.264516666666664,44.331633333333336,49.11766666666667,14.220066666666668
AC-BA-BC-BF-BH-BL-BO-BP-BT-BU-BV-BY-CA-CC-CG-CH-DF-DL-DP-ER-FP-PC-PJ-RI,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0002749999999999,0.0,0.0,28.0,0.0
